comuna;cut_comuna;id;año;variable;valor;medida;estandar
ALTO HOSPICIO;1107;BPU_8;2018;Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes;3,27500000000000e+01;Jornadas diarias / 10.000 habs;Sin estándar
ALTO HOSPICIO;1107;BPU_17;2019;Cantidad de luminarias cada 50 metros lineales de red vial;5,80000000000000e-01;Relación (Número de luminarias / 50 m de red vial);Sin estándar
ALTO HOSPICIO;1107;EA_34;2019;Cantidad de residuos eliminados con disposición final per cápita;1,22061801069188e+00;kg/hab/día;Hasta 1 kilogramo / habitante / día
ALTO HOSPICIO;1107;EA_22a;2021;Consumo de energía eléctrica per cápita no residencial;1,68223082373122e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ALTO HOSPICIO;1107;EA_22;2021;Consumo de energía eléctrica per cápita residencial;4,84296058470373e+02;Kilovatio hora (kWh)/hab/año;Sin estándar
ALTO HOSPICIO;1107;EA_33a;2022;Densidad de hogares en campamentos;4,49973446627722e+01;Densidad (Número hogares/ha);Sin estándar
ALTO HOSPICIO;1107;BPU_26;2018;Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona;3,88000000000000e+00;Promedio per cápita de frecuencia de TP mayor;Sin estándar
ALTO HOSPICIO;1107;BPU_26b;2018;Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona;6,76000000000000e+00;Promedio per cápita de frecuencia de TP menor;Sin estándar
ALTO HOSPICIO;1107;IS_5;2018;Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos;1,00000000000000e-02;Índice;Sin estándar
ALTO HOSPICIO;1107;BPU_7;2020;Distancia a centros de salud primaria;8,78060000000000e+02;m;Hasta 1.500 metros de distancia
ALTO HOSPICIO;1107;BPU_3;2020;Distancia a establecimientos de educación básica;5,78790000000000e+02;m;Hasta 1.000 metros de distancia
ALTO HOSPICIO;1107;BPU_1;2020;Distancia a establecimientos de educación inicial;3,95250000000000e+02;m;Hasta 400 metros de distancia
ALTO HOSPICIO;1107;BPU_25;2018;Distancia a paraderos de transporte público mayor;2,69000000000000e+02;m;400 metros de distancia máxima
ALTO HOSPICIO;1107;BPU_22;2019;Distancia a parques públicos;1,84629669000000e+03;m;Hasta 3.000 metros de distancia
ALTO HOSPICIO;1107;BPU_20;2019;Distancia a plazas públicas;2,86803896000000e+02;m;Hasta 400 metros de distancia
ALTO HOSPICIO;1107;BPU_13;2018;Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros;2,11000000000000e+03;m;Sin estándar
ALTO HOSPICIO;1107;IS_91;2022;Indisponibilidad de suministro eléctrico - indicador SAIDI anual;2,24630442100000e+01;Número de horas promedio / año;Sin estándar
ALTO HOSPICIO;1107;IG_91;2019;Monto total per cápita, en pesos, de fondos entregados por el municipio a la comunidad vía proyectos concursables para el mejoramiento urbano;0,00000000000000e+00;Relación (Monto per cápita en pesos / hab);Sin estándar
ALTO HOSPICIO;1107;EA_35;2019;Número de microbasurales por cada 10.000 habitantes;2,09000000000000e+00;Relación (Número  microbasurales / 10.000 habs);Sin estándar
ALTO HOSPICIO;1107;DE_31;2021;Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes;2,31942424581422e+02;Relación (Número víctimas lesionadas /100.000 habs);Sin estándar
ALTO HOSPICIO;1107;DE_28;2021;Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes;9,69534250661894e+00;Relación (Número víctimas mortales /100.000 habs);Sin estándar
ALTO HOSPICIO;1107;DE_3;2022;Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias);6,39149957572322e+01;Porcentaje;Hasta 30%
ALTO HOSPICIO;1107;DE_102;2019;Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes);2,64000000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;DE_105;2019;Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes);7,14000000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_201;2020;Población estimada de migrantes internacionales por comuna;1,85160000000000e+04;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_53;2020;Porcentaje de  la superficie cubierta por vegetación total;3,40000000000000e-01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_23;2022;Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios;1,19870017326684e-01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_93;2021;Porcentaje de cobertura de la red de ciclovía sobre la red vial;1,46000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IP_6;2018;Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF;0,00000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IG_1;2019;Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante;8,83000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_37;2019;Porcentaje de la población en situación de pobreza multidimensional;2,75500000000000e+01;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;IS_36;2019;Porcentaje de la población en situación de pobreza por ingresos;7,76000000000000e+00;Porcentaje;Sin estándar
ALTO HOSPICIO;1107;EA_53a;2020;Porcentaje de la superficie cubierta por vegetación densa;0,00000000000000e+00;Porcentaje;Sin estándar
